type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p4-8c-40b14f7aecf8,Purple,#5E43B7,2,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-40b14f7aecf8.stl
r2-p4-8c-43aaf840d311,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-43aaf840d311.stl
r2-p4-8c-4a2a4beab3d1,Purple,#5E43B7,4,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-4a2a4beab3d1.stl
r2-p4-8c-59bf9b543de2,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-59bf9b543de2.stl
r2-p4-8c-687bf7522bc2,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-687bf7522bc2.stl
r2-p4-8c-6ed180176bb5,Purple,#5E43B7,1,8,"[[0,0],[1,0],[1,1],[1,2],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-6ed180176bb5.stl
r2-p4-8c-7182b0f5249d,Purple,#5E43B7,28,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-7182b0f5249d.stl
r2-p4-8c-71b1cabb21f1,Purple,#5E43B7,2,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-71b1cabb21f1.stl
r2-p4-8c-74c524aa993e,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-74c524aa993e.stl
r2-p4-8c-8a9c9abd0046,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-8a9c9abd0046.stl
r2-p4-8c-9e4597dbd2a1,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-9e4597dbd2a1.stl
r2-p4-8c-b7b0695b93ed,Purple,#5E43B7,11,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-b7b0695b93ed.stl
r2-p4-8c-d844888ce4b9,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-d844888ce4b9.stl
r2-p4-8c-db7507a63af1,Purple,#5E43B7,13,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-db7507a63af1.stl
r2-p4-8c-db962d10ff4f,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-db962d10ff4f.stl
r2-p4-8c-e50b3bba33b2,Purple,#5E43B7,45,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-e50b3bba33b2.stl
r2-p4-8c-ea6b22f0e894,Purple,#5E43B7,3,8,"[[0,0],[0,1],[0,2],[1,0],[1,1],[2,0],[2,1],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-ea6b22f0e894.stl
r2-p4-8c-ecbfaa38d5d9,Purple,#5E43B7,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-ecbfaa38d5d9.stl
r2-p4-8c-edf55bd5d8ff,Purple,#5E43B7,3,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-edf55bd5d8ff.stl
r2-p4-8c-eedb1346666c,Purple,#5E43B7,49,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-eedb1346666c.stl
r2-p4-9c-04db7e61faa4,Purple,#5E43B7,4,9,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-04db7e61faa4.stl
r2-p4-9c-2c6c8a203360,Purple,#5E43B7,1,9,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[4,0],[5,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-2c6c8a203360.stl
r2-p4-9c-372b34c13ea7,Purple,#5E43B7,4,9,"[[0,0],[0,1],[0,2],[1,1],[1,2],[2,1],[2,2],[3,1],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-372b34c13ea7.stl
r2-p4-9c-37dc0172b5e6,Hot pink,#F5547C,1,9,"[[0,0],[0,1],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-37dc0172b5e6.stl
r2-p4-9c-687f1e2c6151,Purple,#5E43B7,5,9,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-687f1e2c6151.stl
r2-p4-9c-7f58e6b78bd0,Purple,#5E43B7,1,9,"[[0,0],[0,1],[1,0],[1,1],[2,0],[3,0],[4,0],[5,0],[6,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-7f58e6b78bd0.stl
r2-p4-9c-8008113072c1,Purple,#5E43B7,4,9,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,1],[2,2],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-8008113072c1.stl
r2-p4-9c-90b4aebaa3c9,Purple,#5E43B7,1,9,"[[0,0],[0,1],[1,0],[1,1],[2,1],[3,1],[4,1],[5,1],[6,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-90b4aebaa3c9.stl
r2-p4-9c-a91387e26c85,Purple,#5E43B7,4,9,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-a91387e26c85.stl
r2-p4-9c-aa965b60ca20,Purple,#5E43B7,3,9,"[[0,0],[0,1],[0,2],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-aa965b60ca20.stl
