part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
MON-F-00204,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,117,-34.0,-14.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00204,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00218,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,118,-34.0,2.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00218,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00232,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,119,-34.0,18.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00232,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00035,r2-p4-7c-626511f53153,Purple,#5E43B7,3,120,-30.0,30.0,7.2,180,-Z,SEATED_NOMINAL,,MON-F-00246;MON-F-00247;MON-F-00257,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00171,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,121,-26.0,-46.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00171,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00188,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,122,-26.0,-30.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00188,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00205,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,123,-26.0,-14.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00205,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00219,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,124,-26.0,2.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00219,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00233,r2-p4-8c-186a9f84f098,Purple,#5E43B7,3,125,-26.0,18.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00233,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00036,r2-p4-7c-568180a93cb7,Purple,#5E43B7,3,126,-20.0,32.0,7.2,180,-Z,SEATED_NOMINAL,,MON-F-00248;MON-F-00258,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00037,r2-p4-10c-703d228b64da,Purple,#5E43B7,3,127,-18.0,-48.0,7.2,270,-Z,SEATED_NOMINAL,,MON-F-00166;MON-F-00172,PROTOTYPE_NOT_FIT_VALIDATED
