type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p4-8c-9e4597dbd2a1,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-9e4597dbd2a1.stl
r2-p4-8c-b7b0695b93ed,Yellow,#F4EE2A,6,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-b7b0695b93ed.stl
r2-p4-8c-d844888ce4b9,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-d844888ce4b9.stl
r2-p4-8c-db7507a63af1,Yellow,#F4EE2A,21,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-db7507a63af1.stl
r2-p4-8c-db962d10ff4f,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-db962d10ff4f.stl
r2-p4-8c-e27e13d92242,Yellow,#F4EE2A,1,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-e27e13d92242.stl
r2-p4-8c-e50b3bba33b2,Yellow,#F4EE2A,45,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-e50b3bba33b2.stl
r2-p4-8c-edf55bd5d8ff,Yellow,#F4EE2A,4,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-edf55bd5d8ff.stl
r2-p4-8c-eedb1346666c,Yellow,#F4EE2A,39,8,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-8c-eedb1346666c.stl
r2-p4-9c-04db7e61faa4,Yellow,#F4EE2A,3,9,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-04db7e61faa4.stl
r2-p4-9c-41ba1050707a,Pumpkin orange,#FF9016,1,9,"[[0,0],[1,0],[1,1],[2,0],[2,1],[3,0],[4,0],[5,0],[6,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-41ba1050707a.stl
r2-p4-9c-687f1e2c6151,Yellow,#F4EE2A,3,9,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-687f1e2c6151.stl
r2-p4-9c-a91387e26c85,Yellow,#F4EE2A,1,9,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-a91387e26c85.stl
r2-p4-9c-aa965b60ca20,Yellow,#F4EE2A,2,9,"[[0,0],[0,1],[0,2],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-aa965b60ca20.stl
r2-p4-9c-bd62b951898e,Pumpkin orange,#FF9016,1,9,"[[0,0],[0,1],[1,0],[2,0],[3,0],[3,1],[4,0],[5,0],[6,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-bd62b951898e.stl
r2-p4-9c-caa59f319205,Yellow,#F4EE2A,2,9,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[2,2],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-caa59f319205.stl
r2-p4-9c-e4192a78ea21,Yellow,#F4EE2A,1,9,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,1],[4,1],[5,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-9c-e4192a78ea21.stl
