part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
COP-C-00083,r2-p8-6c-f8970603e784,Indigo purple,#482960,1,58,4.0,40.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00083,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00007,r2-p8-14c-3eff1c3ba5c1,Indigo purple,#482960,1,59,28.0,-84.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00042;COP-C-00045,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00052,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,60,20.0,-52.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00052,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00063,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,61,20.0,-20.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00063,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00075,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,62,20.0,12.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00075,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00084,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,63,20.0,44.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00084,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00053,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,64,36.0,-52.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00053,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00064,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,65,36.0,-20.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00064,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00076,r2-p8-8c-4a40eb007127,Indigo purple,#482960,1,66,36.0,12.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00076,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00008,r2-p8-11c-544eb592288c,Indigo purple,#482960,1,67,48.0,40.0,4.8,0,-Z,SEATED_NOMINAL,,COP-C-00085;COP-C-00086;COP-C-00087,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00009,r2-p8-10c-ee2bdff04dc6,Indigo purple,#482960,1,68,56.0,-60.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00046;COP-C-00054;COP-C-00056;COP-C-00057,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00010,r2-p8-13c-2ca80037114e,Indigo purple,#482960,1,69,60.0,-20.0,4.8,0,-Z,SEATED_NOMINAL,,COP-C-00065;COP-C-00066;COP-C-00068,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00011,r2-p8-16c-ef2592b64abc,Indigo purple,#482960,1,70,60.0,12.0,4.8,0,-Z,SEATED_NOMINAL,,COP-C-00077;COP-C-00078,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00012,r2-p8-11c-ff71fb7c033f,Indigo purple,#482960,2,71,-68.0,-4.0,9.6,180,-Z,SEATED_NOMINAL,,COP-C-00092;COP-C-00095;COP-C-00100,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00013,r2-p8-12c-841f31294d1f,Indigo purple,#482960,2,72,-68.0,12.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00093;COP-C-00101,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00014,r2-p8-10c-63a4682badf1,Indigo purple,#482960,2,73,-64.0,-20.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00094;COP-C-00099,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00015,r2-p8-9c-678c5c2d2e15,Indigo purple,#482960,2,74,-64.0,28.0,9.6,180,-Z,SEATED_NOMINAL,,COP-C-00096;COP-C-00102,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00097,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,75,-60.0,-52.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00097,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00098,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,76,-60.0,-36.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00098,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00016,r2-p8-9c-18bfcea1c94d,Indigo purple,#482960,2,77,-56.0,-76.0,9.6,270,-Z,SEATED_NOMINAL,,COP-C-00103;COP-C-00105;COP-C-00106,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00017,r2-p8-4c-46c7296bf727,Indigo purple,#482960,2,78,-56.0,44.0,9.6,180,-Z,SEATED_NOMINAL,,COP-C-00104;COP-C-00107,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00108,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,79,-28.0,-84.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00108,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00109,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,80,-28.0,-68.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00109,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00110,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,81,-28.0,-52.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00110,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00111,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,82,-28.0,-36.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00111,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00112,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,83,-28.0,-20.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00112,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00113,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,84,-28.0,-4.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00113,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00114,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,85,-28.0,12.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00114,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00115,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,86,-28.0,28.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00115,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00116,r2-p8-8c-4a40eb007127,Indigo purple,#482960,2,87,-28.0,44.0,9.6,0,-Z,SEATED_NOMINAL,,COP-C-00116,PROTOTYPE_NOT_FIT_VALIDATED
